rating,review
40,"The location is perfect with easy access to surrounding areas and main center. Strong wifi.  Express services.  Very very respectful and professional staff.  Amazing breakfast.  All facilities that you want are there. SPA, GYM, pool, gift&grocery shop, vending machines, business centre, Cafe and restaurants. Room was clean, tidy and spacious. Noticed in rooms that no enough power sockets to use and only one near the bed.. always in Barceló chain of Hotels the provide USB connections in the room, however its not available in this Hotel. Faced a big issue of water disconnection from 1 pm to 8 pm which was bad. "
50,"Barcelo Guatemala City was everything I expected. I wanted to stay a safe place with all facilities, so I did not need to go outside during the day I spent there. Two gyms, pool, beauty salon and bars/restaurants. Fast wifi, comfortable big room and fast service. I really can recommend this hotel. Free airport transfer even at 4 in the morning!"
50,"This is a well run hotel in a convenient location, the staff are taking all sensible precautions during difficult times and being very kind to stranded travellers. The swimming pool is clean and a haven of distraction for slightly concerned and bored guests. We are happy to continue to be offered room service when all restaurants have to be closed."
50,"Excellent breakfast buffet; Giovanni and all of them treated me light a king.  They are very polite and fast.  My room phone was out of order and in 10 minutes was ready.  The Room service very good, nice and polite."
20,"We stayed 2 nights at this hotel; here the issues we experienced:  1-Bathroom door didn’t close  2-Breakfast is basically bunch of fried stuff (bacon was like eating a sandal)  3-Second night next room guest were really loud till 3 am, went down to reception to get some help and they didn’t do anything at all (their solution was to move us to another room at 3 AM, had to pack all our stuff back without any help) 4-We came back after check out (1 pm) to wait for our flight (10:30 pm) and when we asked for use the pool to make some time while we wait they did not allow us just saying “no, only guest” when we already stayed 2 nights as mentioned before!!!! 5-also hotel facilities looks old and lack of maintenance  When u pay more than $250 for 2 nights u are expecting to have a"
20,"The only positive point of this hotel is the owner, he is very attentive and helpfull, gave us a lot of recommendations and was always ready for whatever we could need.   The location is not good, far from the turistic points and not very safe. The building is very old, needs an urgent renovation. The bathroom has a bad small and the bed sheets are old and worn.  Breakfast is ok."
40,"This hostel is a little away from things in Guatemala. We walked about 25 mins to get to the main square area. Plaza Barrios is not too far, about a 10 minute walk. Here we found supermarkets, bakeries, food stands, clothes sellers etc. It is a safe walk during the day anyway, not so sure about night time.  The owner of the hostel, Ambrosio, was friendly, helpful and kind. We booked our shuttle with him to go to Antigua. It picked us up at the hostel and cost $10 each.  The hostel is a little on the dated side but clean and adequate. The kitchen is great to cook in. It is very quiet at night so we both slept well.  You can pay your bill by card, there is a 3% charge on it. "
40,"Very clean, with free breakfast and kitchen. Staff is so so kind, loved that! Was good for a quick one night in the city.   Breakfast was eggs, plantain and juice. And bread.   Shower did get quite warm after a few minutes of heating up. This was great.   Great wifi"
50,"This place is not easy to find, and I speak Spanish. However, it's excellent! It's two blocks from a bus station called Estación Plaza Borrina. If you can get there, it's a lot easier to find!   I have stayed in a number of hostels, and this is one of my favorites. I felt like a guest in the house, rather than someone staying in a hostel! They have lockers, WiFi, throw in free breakfast, are close to the city center, and are also close to some markets that are very reasonably priced! I would stay here again in a heartbeat!"
50,"The rooms were very clean and the owner was very friendly. Made breakfast for guests in the morning and was very helpful with finding activities around Guatemala City. Some areas in Zone 1 are dangerous, but the area around the hotel is very safe. Has a nice rooftop balcony. Would definitely recommend!"
50,"This was my 5th stay at Casa de Familia in the past 7 yrs. Each time I visit Guaetemala I schedule time at Casa de Familia with Gilda for transportation from the airport, home cooked meals, and personalized touring. This time she planned a visit to Xela and then Panajachel at a spa hotel. We also enjoyed a boat ride to Santa Catarina and a walking tour around the village. I could not travel as I do without Gilda to make arrangements and translate for me. She considers EVERYTHING! Looking forward to visiting again in the future."
50,"I have stayed at Casa de Familia twice before this trip. This trip had special considerations as I would be visiting a family a couple of hours away by car and also wanted to visit other areas of Guatemala. Casa de Familia made it so simple for me! I provided a list of my requests by email and we worked through the plans prior to my arrival. Everything went as planned from picking me up at the airport, to connecting me with my friends and then back to Casa de Familia for a couple days of touring.  Our trip to Santa Teresita Thermal Spa at Lake Amatitlan was amazing! I provided a shopping list of items (gifts, coffee, etc.) which was filled and waiting for me. Gilda's expertise, connections, and translating were so valuable to me.  I was traveling solo, however, it seemed like I"
50,"I stayed at Casa de Familia overnight on my way to una escuela in Xela, Guatemala.  The room was comfortable and clean with a lock on the door (which really isn't necessary since Gilda is your family!).  I had my own bathroom complete with a nice hot shower!  I was not concerned about location because I was really only there en route to Xela; as a matter of fact, after our Habitat Build, my husband and I stayed there again, again, just for the night as we had an early flight out the next morning.  While you might hear that GC is not the safest place to stay, Casa de Familia is in a secure, gated neighbourhood.  I was not concerned with safety at all.  The best part about staying with Gilda is that she TOTALLY takes care of you!  She picked me up at the airport after midnight"
